var1,var2,var3
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,gisid,LONG
Polygon,layertype,LONG
Polygon,landuse_id,LONG,
Polygon,ownership,LONG
Polygon,created_user,TEXT
Polygon,created_date,DATE
Polygon,last_edited_user,TEXT
Polygon,last_edited_date,DATE
Territory,id,LONG
Territory,type,LONG
Territory,name,TEXT
Territory,parent_id,LONG
Territory,territorylevel,LONG
Territory,polygon_gisid,LONG,
Territory,systemstartdate,DATE
Territory,systemenddate,DATE
Parcel,id,LONG
Parcel,parcel_num,TEXT
Parcel,actualarea,FLOAT
Parcel,islegal,LONG
Parcel,territory_id,LONG,
Parcel,propertytype,LONG
Parcel,bordertype,LONG
Parcel,bonitet,LONG
Parcel,description,TEXT
Parcel,polygon_gisid,LONG,
Parcel,legalstartdate,DATE
Parcel,legalenddate,DATE
Parcel,systemstartdate,DATE
Parcel,systemenddate,DATE
Parcel_History,parent_id,LONG,
Parcel_History,part_id,LONG,
Parcel_History,legalstartdate,DATE
Parcel_History,legalenddate,DATE
Parcel_History,systemstartdate,DATE
Parcel_History,systemenddate,DATE
Owner,id,LONG
Owner,type,LONG
Owner,name,TEXT
Owner,surname,TEXT
Owner,birthdate,DATE
Owner,seriya,TEXT
Owner,idnumber,LONG
Owner,ownertype,LONG
Owner,systemstartdate,DATE
Owner,systemenddate,DATE
Owner_Parcel,owner_id,LONG,
Owner_Parcel,parsel_id,LONG,
Owner_Parcel,right_type,LONG
Owner_Parcel,legalstartdate,DATE
Owner_Parcel,legalenddate,DATE
Owner_Parcel,systemstartdate,DATE
Owner_Parcel,systemenddate,DATE
Structure,id,LONG
Structure,type,LONG
Structure,name,TEXT
Structure,floorcount,LONG
Structure,islegal,LONG
Structure,parcel_id,LONG,
Structure,polygon_gisid,LONG,
Structure,actualarea,FLOAT
Structure,description,TEXT
LandUse,id,LONG
LandUse,name,TEXT
LandUse,systemstartdate,DATE
LandUse,systemenddate,DATE
LandCoverValue,id,LONG
LandCoverValue,name,TEXT
LandCoverValue,systemstartdate,DATE
